,Gene Name,MeanLN_INS,P-valueLN_INSvsCON
1046,GSK3B,0.761889117,0.04
1048,GSTK1,0.981039245,0.76
1053,GTF2F1,0.621709284,0.01
1054,GTF2F2,0.881681081,0.07
1055,GTF2I,0.790365345,0.12
1058,GTPBP1,0.766591134,0.02
1059,GTPBP4,1.010472233,0.34
1061,H1F0,0.643556745,0.09
1062,H1FX,0.851523272,0.04
1063,"H2AFV,H2AFZ",0.811936684,0.19
1071,HBS1L,1.136751685,0.74
1082,HDLBP,0.86177728,0.07
1094,HIST1H1B,0.782921628,0.06
1095,HIST1H1C,0.760232627,0.05
1096,"HIST1H2BA,HIST1H2BB,HIST1H2BJ,HIST1H2BO,HIST2H2BE,HIST3H2BB",1.022882334,0.99
1097,HIST1H4A,1.791953477,0.62
1106,HNRNPA0,0.87642523,0.01
1107,"HNRNPA2B1,HNRPA2B1",0.886604713,0.01
1108,HNRNPA3,0.852401518,0.01
1109,HNRNPAB,0.843817531,0.07
1110,HNRNPC,0.645134783,0.06
1111,HNRNPD,0.952602491,0.35
1112,HNRNPDL,0.962474534,0.46
1113,HNRNPF,0.886620821,0.47
1114,HNRNPH1,0.652616238,0.01
1116,HNRNPH3,0.845194363,0.12
1117,HNRNPK,0.743598131,0.01
1118,HNRNPL,0.802060361,0.08
1119,HNRNPLL,0.863193877,0.33
1120,HNRNPM,0.830983684,0.16
1121,HNRNPR,1.065796428,0.9
1122,HNRNPU,0.807337623,0.01
1123,HNRNPUL1,0.749954465,0.08
1125,"HNTN1,TNNT2",0.802270235,0.52
1127,HOMER3,0.85993844,0.83
1128,HOOK3,1.033566809,0.17
1130,HP1BP3,0.766135128,0.02
1136,HRC,1.332111826,0.92
1137,HSD17B10,0.871766428,0.35
1139,HSD17B4,0.741045375,0.16
1141,HSDL2,0.908395905,0.55
1142,HSP90AA1,0.889526802,0.23
1143,HSP90AB1,0.874379949,0.29
1144,HSP90AB2P,1.122910875,0.34
1145,HSP90B1,0.930744563,0.78
1146,HSPA12A,0.918969536,0.15
1148,"HSPA1A,HSPA1B",1.021288002,0.99
1149,HSPA4,0.714218838,0.3
1150,HSPA5,0.910371739,0.24
1151,HSPA8,0.861815572,0.13
1153,HSPB1,0.815751362,0.02
1159,HSPD1,0.975096121,0.88
1160,"HSPE1-MOB4,MOB4",0.858198201,0.02
1165,HTRA1,0.998450731,0.45
1169,IARS,0.726440059,0.27
1172,IDH1,1.048752066,0.54
1173,IDH2,0.95107498,0.2
1175,IDH3B,0.918188107,0.4
1179,IFI16,0.690462242,0.03
1184,IGBP1,0.949175772,0.56
1186,IGF2BP2,0.852532131,0.1
1187,IGF2BP3,0.792308472,0.03
