Gene Name,MeanLN_INS,P-valueLN_INSvsCON,FC,logP
EIF4G2,0.732295384,0.01,-0.4495023929994779,2.0
EIF4G3,1.01874439,0.3,0.02679211476313701,0.5228787452803376
EIF4H,0.757921446,0.03,-0.3998797654078792,1.5228787452803376
EIF5A,0.856714125,0.1,-0.22311421989457325,1.0
EIF5B,0.718198202,0.01,-0.47754605364882713,2.0
EIF6,0.986347392,0.8,-0.01983224093403031,0.09691001300805639
ELAVL1,1.012084209,0.85,0.017329332376536683,0.07058107428570728
ELMO2,0.890415709,0.29,-0.16744904949356407,0.5376020021010439
EML4,0.809914015,0.12,-0.3041593433318106,0.9208187539523752
ENAH,0.69548022,0.03,-0.5239186109087843,1.5228787452803376
ENDOG,0.832537087,0.86,-0.26441355358728735,0.06550154875643228
ENO3,0.739277688,0.4,-0.43581172259891404,0.3979400086720376
EPRS,0.897252543,0.21,-0.156413987942928,0.6777807052660807
EPS8,0.820311944,0.02,-0.2857554601791676,1.6989700043360187
ERC1,0.909376643,0.85,-0.13705014541323837,0.07058107428570728
ERH,0.567067852,0.21,-0.81840672499812,0.6777807052660807
ETF1,0.669180966,0.07,-0.5795316845498604,1.154901959985743
EWSR1,0.71561036,0.01,-0.48275382123086563,2.0
EXOC1,1.373697796,0.49,0.4580646561459594,0.3098039199714863
EXOC2,0.733148209,0.3,-0.4478232201633199,0.5228787452803376
EXOC4,0.969419809,0.08,-0.044806532236484564,1.0969100130080565
EZR,0.899629008,0.53,-0.15259791418178198,0.27572413039921095
F13A1,0.803620695,0.01,-0.3154133777680842,2.0
FAHD1,1.147266964,0.31,0.19820113923894708,0.5086383061657274
"FAHD2A,FAHD2B",0.77689939,0.3,-0.36420031600500025,0.5228787452803376
FAM114A1,1.021397387,0.99,0.030544273378784063,0.004364805402450088
FAM114A2,1.15912091,0.26,0.21303106432470967,0.585026652029182
FAM120A,0.800568806,0.01,-0.3209026923843301,2.0
FAM120B,0.648545191,0.02,-0.6247209890918621,1.6989700043360187
FAM129B,0.810091347,0.87,-0.3038434974660947,0.060480747381381476
FAM214B,0.911165277,0.91,-0.1342153255129855,0.040958607678906384
FAM21A,0.849626772,0.01,-0.23509886826612447,2.0
FAM49B,0.889354275,0.27,-0.16916986259115643,0.5686362358410126
FAM50A,0.773655287,0.04,-0.37023719843006775,1.3979400086720375
FAM96B,0.651005641,0.67,-0.6192580504097136,0.17392519729917355
FAM98A,0.745052766,0.01,-0.4245854913920271,2.0
FAM98B,0.756755152,0.02,-0.4021015029124733,1.6989700043360187
FARSA,0.907535698,0.36,-0.13997370212095564,0.44369749923271273
FARSB,0.813428135,0.16,-0.2979132030263424,0.7958800173440752
FASN,0.870751855,0.76,-0.19966645363700644,0.11918640771920865
FBL,0.918165805,0.25,-0.12317339173662455,0.6020599913279624
FERMT2,1.162848547,0.48,0.21766320797149186,0.3187587626244128
FERMT3,0.933386026,0.48,-0.099454226440473,0.3187587626244128
FHL1,0.862742046,0.01,-0.21299882700808687,2.0
FHL2,1.007048039,0.49,0.010132505563175504,0.3098039199714863
FHL3,0.992500381,0.52,-0.01086043881140909,0.28399665636520083
FILIP1,0.944528758,0.21,-0.08233337197157563,0.6777807052660807
FIS1,0.865088911,0.01,-0.20907967905488475,2.0
FKBP15,0.851404644,0.07,-0.2320831355435257,1.154901959985743
FKBP3,0.763528163,0.01,-0.38924672257893544,2.0
FLII,0.785624898,0.09,-0.34808744266356134,1.0457574905606752
FLNC,0.899024253,0.07,-0.15356805900207393,1.154901959985743
FMNL1,0.743422762,0.08,-0.4277452338039256,1.0969100130080565
FMR1,0.665761281,0.1,-0.5869231254809597,1.0
FN1,0.85679247,0.03,-0.22298229400250247,1.5228787452803376
FOCAD,0.093392013,0.17,-3.42055701562137,0.769551078621726
FOXK1,0.668400169,0.01,-0.5812159967135292,2.0
FUBP1,0.70898581,0.12,-0.4961713419606466,0.9208187539523752
FXR1,0.758999326,0.01,-0.3978294903755922,2.0
FXR2,0.932937596,0.08,-0.10014751215149273,1.0969100130080565
G3BP1,0.809120657,0.01,-0.3055732398513298,2.0
G3BP2,0.8607986,0.09,-0.2162523633853668,1.0457574905606752
GAK,0.95861335,0.6,-0.06097906329196747,0.2218487496163564
